Feature,Config,MAE,R2
p1.pH.index,Spectral Only,0.6874232992155986,0.594691054879944
p1.pH.index,Spectral + pH,0.6016002734069412,0.763066361561337
p1.pH.index,Spectral + EC,0.5823234167704869,0.6914608927300169
p1.pH.index,Spectral + pH + EC,0.6545699693503673,0.7255507082202965
p2.N.wt_pct,Spectral Only,0.1417556812516812,0.6342481310068815
p2.N.wt_pct,Spectral + pH,0.13245469279992042,0.6458662888652992
p2.N.wt_pct,Spectral + EC,0.11399374722932523,0.7341199520078131
p2.N.wt_pct,Spectral + pH + EC,0.11684780019472592,0.7388095743983791
p2.OC.wt_pct,Spectral Only,2.3745169948626725,0.6776007900739518
p2.OC.wt_pct,Spectral + pH,2.1397608854901202,0.7098767564263507
p2.OC.wt_pct,Spectral + EC,1.9577234841506723,0.7111357927704448
p2.OC.wt_pct,Spectral + pH + EC,1.836814800331021,0.7497565047342913
p3.K.mg_kg,Spectral Only,239.02516802214814,0.042217417708480795
p3.K.mg_kg,Spectral + pH,217.33213599698712,0.11200042929670942
p3.K.mg_kg,Spectral + EC,234.76672331260002,0.054443597033362615
p3.K.mg_kg,Spectral + pH + EC,214.93878378966815,0.13327183778376833
p3.P.mg_kg,Spectral Only,20.826264543089373,0.02942496862177586
p3.P.mg_kg,Spectral + pH,20.536576130369138,0.0429721738197872
p3.P.mg_kg,Spectral + EC,20.608366404678314,0.12002167519645417
p3.P.mg_kg,Spectral + pH + EC,19.663268641719235,0.1418821654356049
p1.EC.ds_m,Spectral Only,0.1660290166171584,0.12579784120803936
p1.EC.ds_m,Spectral + pH,0.16268659065492194,0.16181532764669548
p1.EC.ds_m,Spectral + EC,0.1309679623142498,0.8260209018018706
p1.EC.ds_m,Spectral + pH + EC,0.11410721836605556,0.8510653588836654
p1.Sand.wt_pct,Spectral Only,10.901956750620675,-0.29686335778555945
p1.Sand.wt_pct,Spectral + pH,9.006929005665775,-0.05795585186261607
p1.Sand.wt_pct,Spectral + EC,4.900124614878334,-0.04250029951768044
p1.Sand.wt_pct,Spectral + pH + EC,4.162376859003784,0.14985026691616288
p4.CEC.cmolc_kg,Spectral Only,8.372105153429207,0.2615228263710213
p4.CEC.cmolc_kg,Spectral + pH,7.34265920628282,0.37319224606967005
p4.CEC.cmolc_kg,Spectral + EC,7.507665651498135,-0.12828365152444637
p4.CEC.cmolc_kg,Spectral + pH + EC,7.463762129956055,-0.13746527348617255
p4.CF.wt_pct,Spectral Only,8.769086504003287,0.018233842661034404
p4.CF.wt_pct,Spectral + pH,8.837760432381483,0.052134070787281786
p4.CF.wt_pct,Spectral + EC,11.607815118187116,-0.005070628423605306
p4.CF.wt_pct,Spectral + pH + EC,11.408536110241453,0.016479247271613828
p1.Clay.wt_pct,Spectral Only,15.826777353059379,0.1964834169337429
p1.Clay.wt_pct,Spectral + pH,15.748941653065964,0.2338177908462208
p1.Clay.wt_pct,Spectral + EC,10.422122926464843,-0.21901870312045535
p1.Clay.wt_pct,Spectral + pH + EC,11.139055212471515,-0.36434063095209573
p1.Silt.wt_pct,Spectral Only,16.706951544511448,0.07310229964984585
p1.Silt.wt_pct,Spectral + pH,15.18800558297934,0.12870682240803377
p1.Silt.wt_pct,Spectral + EC,19.606587081909183,-0.26469823782169305
p1.Silt.wt_pct,Spectral + pH + EC,17.58251247575548,-0.24392228494801166
p3.S.wt_pct,Spectral Only,0.009430854000340456,0.12657738001763014
p3.S.wt_pct,Spectral + pH,0.015734617379098138,-0.2236839098814256
p3.S.wt_pct,Spectral + EC,0.016408638340601325,-2.0151392842569456
p3.S.wt_pct,Spectral + pH + EC,0.014318741721059547,0.09050018490904028
p4.BD.g_cm3,Spectral Only,0.24010454137206394,-0.06056618602972965
p4.BD.g_cm3,Spectral + pH,0.22658388154151882,0.038283962540812164
p4.BD.g_cm3,Spectral + EC,0.159066711825076,-0.04690387278505981
p4.BD.g_cm3,Spectral + pH + EC,0.15479982118034363,-0.02425202866497369
